75,"SELECT TOP # g.l,  g.b,  s.z as redshift, g.u, g.err_u,  g.g,  g.err_g,  g.r,  g.err_r,  g.i,  g.err_i,  g.z,  g.err_z,  g.extinction_g,  g.extinction_r      FROM  Galaxy AS g  JOIN SpecObj as s ON s.specObjID = g.specObjID  WHERE  g.l between # and # and  g.b between # and # and  g.petroR9#_i/g.petroR5#_i > #  and ((flags & #) = #) and s.z > #"
2019-01-21 18:36:00,1
2019-01-21 18:49:00,1
2019-01-21 18:51:00,2
2019-01-21 19:09:00,2
2019-01-21 19:16:00,1
2019-01-21 19:28:00,2
2019-01-21 19:32:00,2
2019-01-21 19:35:00,1
2019-01-21 19:36:00,4
2019-01-21 19:38:00,4
2019-01-21 21:21:00,3
2019-01-21 21:22:00,1
2019-01-21 21:27:00,2
2019-01-21 21:28:00,3
2019-01-21 21:29:00,3
2019-01-21 21:45:00,2
2019-01-21 21:58:00,1
2019-01-21 22:00:00,2
2019-01-21 22:01:00,1
2019-01-21 22:03:00,2
2019-01-21 22:04:00,2
2019-01-21 22:05:00,2
2019-01-21 22:10:00,1
2019-01-21 22:11:00,2
2019-01-21 22:14:00,4
2019-01-21 22:15:00,2
2019-01-21 22:19:00,2
2019-01-21 22:20:00,2
2019-01-21 22:21:00,1
2019-01-21 22:22:00,2
2019-01-21 22:24:00,1
2019-01-21 22:26:00,2
2019-01-21 22:27:00,1
2019-01-21 22:33:00,2
2019-01-21 22:34:00,1
2019-01-21 22:35:00,3
2019-01-21 22:36:00,3
2019-01-21 22:54:00,1
2019-01-21 23:12:00,1
