1628,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-19 12:40:00,24
2019-06-19 12:42:00,10
2019-06-19 13:07:00,27
2019-06-19 13:15:00,14
2019-06-19 13:16:00,112
2019-06-19 13:17:00,572
2019-06-19 13:33:00,55
2019-06-19 13:34:00,526
2019-06-19 13:35:00,57
2019-06-19 13:42:00,27
2019-06-19 13:44:00,10
2019-06-19 13:45:00,36
2019-06-19 13:55:00,124
2019-06-19 13:56:00,29
2019-06-19 14:08:00,5
