5,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-19 19:48:00,1
2019-06-19 19:50:00,3
2019-06-19 19:51:00,1
