2,"SELECT TOP #   objID, ra ,dec, modelMag_g, modelMagErr_g, modelMag_r, modelMagErr_r, modelMag_i, modelMagErr_i into mydb.MyTable_# from PhotoPrimary   WHERE   ra > # and ra < #  AND dec > # and dec < #"
2019-06-19 03:07:00,1
2019-06-19 03:08:00,1
