245,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-06-19 05:00:00,4
2019-06-19 05:01:00,13
2019-06-19 05:02:00,10
2019-06-19 05:03:00,15
2019-06-19 05:04:00,6
2019-06-19 05:05:00,7
2019-06-19 05:06:00,8
2019-06-19 05:07:00,8
2019-06-19 05:08:00,9
2019-06-19 05:09:00,15
2019-06-19 05:10:00,15
2019-06-19 05:11:00,14
2019-06-19 05:12:00,10
2019-06-19 05:13:00,9
2019-06-19 05:14:00,10
2019-06-19 05:15:00,14
2019-06-19 05:16:00,15
2019-06-19 05:17:00,15
2019-06-19 05:18:00,14
2019-06-19 05:19:00,13
2019-06-19 05:20:00,6
2019-06-19 05:21:00,6
2019-06-19 05:22:00,7
2019-06-19 05:23:00,2
