192,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-06-19 00:01:00,1
2019-06-19 00:03:00,1
2019-06-19 00:08:00,1
2019-06-19 00:09:00,1
2019-06-19 00:12:00,1
2019-06-19 00:15:00,1
2019-06-19 00:18:00,1
2019-06-19 00:26:00,1
2019-06-19 00:29:00,1
2019-06-19 00:30:00,1
2019-06-19 00:31:00,1
2019-06-19 00:32:00,2
2019-06-19 00:38:00,1
2019-06-19 00:42:00,1
2019-06-19 00:49:00,1
2019-06-19 00:53:00,1
2019-06-19 00:54:00,2
2019-06-19 00:58:00,1
2019-06-19 00:59:00,1
2019-06-19 01:02:00,1
2019-06-19 01:04:00,1
2019-06-19 01:09:00,1
2019-06-19 01:10:00,1
2019-06-19 01:12:00,1
2019-06-19 01:13:00,1
2019-06-19 01:14:00,1
2019-06-19 01:16:00,1
2019-06-19 01:18:00,1
2019-06-19 01:20:00,2
2019-06-19 01:27:00,1
2019-06-19 01:29:00,1
2019-06-19 01:34:00,2
2019-06-19 01:36:00,1
2019-06-19 01:37:00,1
2019-06-19 01:38:00,1
2019-06-19 01:39:00,1
2019-06-19 01:47:00,1
2019-06-19 01:48:00,2
2019-06-19 01:51:00,1
2019-06-19 01:52:00,1
2019-06-19 01:53:00,2
2019-06-19 01:57:00,1
2019-06-19 02:03:00,1
2019-06-19 02:11:00,1
2019-06-19 02:12:00,1
2019-06-19 02:15:00,1
2019-06-19 02:16:00,1
2019-06-19 02:17:00,1
2019-06-19 02:20:00,1
2019-06-19 02:23:00,1
2019-06-19 02:24:00,1
2019-06-19 02:26:00,2
2019-06-19 02:27:00,1
2019-06-19 02:32:00,1
2019-06-19 02:42:00,1
2019-06-19 02:46:00,1
2019-06-19 02:48:00,1
2019-06-19 02:51:00,1
2019-06-19 02:52:00,1
2019-06-19 02:55:00,1
2019-06-19 03:01:00,1
2019-06-19 03:03:00,2
2019-06-19 03:18:00,1
2019-06-19 03:20:00,1
2019-06-19 03:21:00,1
2019-06-19 03:23:00,1
2019-06-19 03:26:00,1
2019-06-19 03:28:00,1
2019-06-19 03:29:00,1
2019-06-19 03:32:00,1
2019-06-19 03:34:00,1
2019-06-19 03:39:00,1
2019-06-19 03:41:00,2
2019-06-19 03:42:00,1
2019-06-19 03:44:00,1
2019-06-19 03:45:00,1
2019-06-19 03:47:00,1
2019-06-19 03:48:00,1
2019-06-19 03:51:00,1
2019-06-19 03:53:00,1
2019-06-19 03:56:00,1
2019-06-19 03:57:00,1
2019-06-19 04:06:00,2
2019-06-19 04:11:00,1
2019-06-19 04:12:00,1
2019-06-19 04:17:00,1
2019-06-19 04:18:00,1
2019-06-19 04:24:00,1
2019-06-19 04:25:00,1
2019-06-19 04:26:00,1
2019-06-19 04:29:00,1
2019-06-19 04:31:00,1
2019-06-19 04:32:00,1
2019-06-19 04:40:00,1
2019-06-19 04:47:00,1
2019-06-19 04:52:00,1
2019-06-19 04:54:00,1
2019-06-19 04:55:00,1
2019-06-19 04:56:00,1
2019-06-19 05:05:00,1
2019-06-19 05:12:00,1
2019-06-19 05:14:00,1
2019-06-19 05:15:00,1
2019-06-19 05:19:00,1
2019-06-19 05:20:00,1
2019-06-19 05:21:00,1
2019-06-19 05:22:00,1
2019-06-19 05:23:00,1
2019-06-19 05:24:00,2
2019-06-19 05:25:00,1
2019-06-19 05:33:00,1
2019-06-19 05:34:00,1
2019-06-19 05:35:00,1
2019-06-19 05:36:00,1
2019-06-19 05:38:00,1
2019-06-19 05:39:00,1
2019-06-19 05:41:00,1
2019-06-19 05:42:00,1
2019-06-19 05:43:00,1
2019-06-19 05:44:00,1
2019-06-19 05:46:00,1
2019-06-19 05:47:00,1
2019-06-19 05:53:00,1
2019-06-19 05:54:00,1
2019-06-19 05:58:00,1
2019-06-19 05:59:00,2
2019-06-19 06:04:00,1
2019-06-19 06:05:00,1
2019-06-19 06:08:00,1
2019-06-19 06:10:00,1
2019-06-19 06:12:00,1
2019-06-19 06:14:00,1
2019-06-19 06:15:00,2
2019-06-19 06:16:00,1
2019-06-19 06:17:00,2
2019-06-19 06:21:00,1
2019-06-19 06:22:00,1
2019-06-19 06:24:00,2
2019-06-19 06:25:00,2
2019-06-19 06:26:00,1
2019-06-19 06:28:00,1
2019-06-19 06:37:00,1
2019-06-19 06:38:00,1
2019-06-19 06:41:00,1
2019-06-19 06:42:00,1
2019-06-19 06:44:00,1
2019-06-19 06:46:00,1
2019-06-19 06:48:00,1
2019-06-19 06:49:00,2
2019-06-19 06:50:00,2
2019-06-19 06:52:00,1
2019-06-19 06:54:00,1
2019-06-19 06:59:00,1
2019-06-19 07:00:00,1
2019-06-19 07:02:00,1
2019-06-19 07:03:00,1
2019-06-19 07:10:00,2
2019-06-19 07:13:00,1
2019-06-19 07:14:00,2
2019-06-19 07:15:00,1
2019-06-19 07:16:00,1
2019-06-19 07:17:00,1
2019-06-19 07:21:00,1
2019-06-19 07:22:00,1
2019-06-19 07:24:00,1
2019-06-19 07:33:00,1
2019-06-19 07:34:00,1
2019-06-19 07:35:00,1
2019-06-19 07:36:00,1
2019-06-19 07:37:00,1
2019-06-19 14:38:00,1
2019-06-19 14:39:00,1
