3747,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-02-15 14:01:00,4
2019-02-15 14:02:00,9
2019-02-15 14:03:00,13
2019-02-15 14:04:00,8
2019-02-15 14:05:00,12
2019-02-15 14:06:00,13
2019-02-15 14:07:00,5
2019-02-15 14:08:00,13
2019-02-15 14:09:00,13
2019-02-15 14:10:00,5
2019-02-15 14:11:00,10
2019-02-15 14:12:00,12
2019-02-15 14:13:00,15
2019-02-15 14:14:00,10
2019-02-15 14:15:00,12
2019-02-15 14:16:00,9
2019-02-15 14:17:00,12
2019-02-15 14:18:00,12
2019-02-15 14:19:00,13
2019-02-15 14:20:00,12
2019-02-15 14:21:00,12
2019-02-15 14:22:00,12
2019-02-15 14:23:00,7
2019-02-15 14:24:00,13
2019-02-15 14:25:00,10
2019-02-15 14:26:00,14
2019-02-15 14:27:00,11
2019-02-15 14:28:00,3
2019-02-15 14:30:00,10
2019-02-15 14:31:00,8
2019-02-15 14:32:00,15
2019-02-15 14:33:00,8
2019-02-15 14:34:00,13
2019-02-15 14:35:00,12
2019-02-15 14:36:00,10
2019-02-15 14:37:00,9
2019-02-15 14:38:00,13
2019-02-15 14:39:00,9
2019-02-15 14:40:00,12
2019-02-15 14:41:00,8
2019-02-15 14:42:00,12
2019-02-15 14:43:00,9
2019-02-15 14:44:00,8
2019-02-15 14:45:00,9
2019-02-15 14:46:00,13
2019-02-15 14:47:00,11
2019-02-15 14:48:00,9
2019-02-15 14:49:00,12
2019-02-15 14:50:00,12
2019-02-15 14:51:00,7
2019-02-15 14:52:00,12
2019-02-15 14:53:00,13
2019-02-15 14:54:00,5
2019-02-15 14:55:00,17
2019-02-15 14:56:00,10
2019-02-15 14:57:00,9
2019-02-15 14:58:00,9
2019-02-15 14:59:00,9
2019-02-15 15:00:00,7
2019-02-15 15:01:00,7
2019-02-15 15:02:00,13
2019-02-15 15:03:00,3
2019-02-15 15:05:00,3
2019-02-15 15:06:00,14
