2946,"SELECT DISTINCT p.u, p.g, p.r, p.i, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-15 12:58:00,18
2019-02-15 12:59:00,115
2019-02-15 13:00:00,126
2019-02-15 13:01:00,119
2019-02-15 13:02:00,120
2019-02-15 13:03:00,130
2019-02-15 13:04:00,132
2019-02-15 13:05:00,86
2019-02-15 14:25:00,23
2019-02-15 14:26:00,133
2019-02-15 14:27:00,145
2019-02-15 14:28:00,142
2019-02-15 14:29:00,154
2019-02-15 14:30:00,154
2019-02-15 14:31:00,159
2019-02-15 14:32:00,155
2019-02-15 14:33:00,143
2019-02-15 14:34:00,156
2019-02-15 14:35:00,150
2019-02-15 14:36:00,151
2019-02-15 14:37:00,147
2019-02-15 14:38:00,144
2019-02-15 14:39:00,118
2019-02-15 14:40:00,26
