13115,"SELECT ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,Err_u,Err_g,Err_r,Err_i,Err_z,flags_r,run   FROM Galaxy   WHERE   ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-15 00:00:00,12
2019-02-15 00:01:00,4
2019-02-15 00:02:00,20
2019-02-15 00:03:00,32
2019-02-15 00:04:00,19
2019-02-15 00:05:00,17
2019-02-15 00:06:00,12
2019-02-15 00:07:00,7
2019-02-15 00:08:00,14
2019-02-15 00:09:00,11
2019-02-15 00:10:00,1
2019-02-15 00:11:00,21
2019-02-15 00:12:00,12
2019-02-15 00:13:00,15
2019-02-15 00:14:00,15
2019-02-15 00:15:00,16
2019-02-15 00:16:00,14
2019-02-15 00:17:00,16
2019-02-15 00:18:00,14
2019-02-15 00:19:00,5
2019-02-15 00:20:00,7
2019-02-15 00:21:00,15
2019-02-15 00:22:00,21
2019-02-15 00:23:00,16
2019-02-15 00:24:00,11
2019-02-15 00:25:00,14
2019-02-15 00:26:00,18
2019-02-15 00:27:00,7
2019-02-15 00:28:00,7
2019-02-15 00:29:00,1
2019-02-15 00:30:00,22
2019-02-15 00:31:00,14
2019-02-15 00:32:00,6
2019-02-15 00:33:00,11
2019-02-15 00:34:00,24
2019-02-15 00:35:00,17
2019-02-15 00:36:00,14
2019-02-15 00:37:00,15
2019-02-15 00:38:00,6
2019-02-15 00:39:00,14
2019-02-15 00:40:00,5
2019-02-15 00:41:00,11
2019-02-15 00:42:00,17
2019-02-15 00:43:00,11
2019-02-15 00:44:00,18
2019-02-15 00:45:00,20
2019-02-15 00:46:00,19
2019-02-15 00:47:00,20
2019-02-15 00:48:00,9
2019-02-15 00:49:00,6
2019-02-15 00:50:00,10
2019-02-15 00:51:00,14
2019-02-15 00:52:00,6
2019-02-15 00:53:00,8
2019-02-15 00:54:00,10
2019-02-15 00:55:00,17
2019-02-15 00:56:00,15
2019-02-15 00:57:00,10
2019-02-15 00:58:00,10
2019-02-15 00:59:00,8
2019-02-15 01:00:00,17
2019-02-15 01:01:00,9
2019-02-15 01:02:00,2
2019-02-15 01:03:00,21
2019-02-15 01:04:00,1
2019-02-15 01:05:00,28
2019-02-15 01:06:00,22
2019-02-15 01:07:00,8
2019-02-15 01:08:00,9
2019-02-15 01:09:00,12
2019-02-15 01:10:00,34
2019-02-15 01:11:00,29
2019-02-15 01:12:00,9
2019-02-15 01:13:00,13
2019-02-15 01:14:00,13
2019-02-15 01:15:00,8
2019-02-15 01:16:00,29
2019-02-15 01:17:00,19
2019-02-15 01:18:00,16
2019-02-15 01:19:00,8
2019-02-15 01:20:00,22
2019-02-15 01:21:00,2
2019-02-15 01:22:00,23
2019-02-15 01:23:00,3
2019-02-15 01:24:00,13
2019-02-15 01:25:00,9
2019-02-15 01:26:00,28
2019-02-15 01:27:00,24
2019-02-15 01:28:00,16
2019-02-15 01:29:00,19
2019-02-15 01:30:00,17
2019-02-15 01:31:00,28
2019-02-15 01:32:00,19
2019-02-15 01:33:00,20
2019-02-15 01:34:00,27
2019-02-15 01:35:00,33
2019-02-15 01:36:00,35
2019-02-15 01:37:00,3
2019-02-15 01:38:00,27
2019-02-15 01:39:00,34
2019-02-15 01:40:00,34
2019-02-15 01:41:00,18
2019-02-15 01:42:00,22
2019-02-15 01:43:00,21
2019-02-15 01:44:00,31
2019-02-15 01:45:00,18
2019-02-15 01:46:00,17
2019-02-15 01:47:00,25
2019-02-15 01:48:00,7
2019-02-15 01:49:00,16
2019-02-15 01:50:00,23
2019-02-15 01:51:00,35
2019-02-15 01:52:00,37
2019-02-15 01:53:00,26
2019-02-15 01:54:00,1
2019-02-15 01:55:00,34
2019-02-15 01:56:00,20
2019-02-15 01:57:00,20
2019-02-15 01:58:00,36
2019-02-15 01:59:00,29
