170,"SELECT aa_i,kk_i,airmass_i,gain_i,sky_i,skysig_i FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-03-18 04:08:00,2
2019-03-18 04:09:00,4
2019-03-18 04:10:00,5
2019-03-18 04:11:00,4
2019-03-18 04:12:00,5
2019-03-18 04:13:00,4
2019-03-18 04:14:00,5
2019-03-18 04:15:00,5
2019-03-18 04:16:00,5
2019-03-18 04:17:00,5
2019-03-18 04:18:00,5
2019-03-18 04:19:00,5
2019-03-18 04:20:00,4
2019-03-18 04:21:00,5
2019-03-18 04:22:00,5
2019-03-18 04:23:00,5
2019-03-18 04:24:00,5
2019-03-18 04:25:00,5
2019-03-18 04:26:00,5
2019-03-18 04:27:00,5
2019-03-18 04:28:00,5
2019-03-18 04:29:00,4
2019-03-18 04:30:00,5
2019-03-18 04:31:00,5
2019-03-18 04:32:00,5
2019-03-18 04:33:00,5
2019-03-18 04:34:00,2
2019-03-18 04:39:00,3
2019-03-18 04:40:00,5
2019-03-18 04:41:00,4
2019-03-18 04:42:00,5
2019-03-18 04:43:00,5
2019-03-18 04:44:00,5
2019-03-18 04:45:00,5
2019-03-18 04:46:00,5
2019-03-18 04:47:00,5
2019-03-18 04:48:00,4
