3,"select top # ra as X_WIN, dec as Y_WIN, psfMag_u as MAG_AUTO, psfMagErr_u as MAGERR_AUTO from PhotoObj where (ra between # and #) and (dec between # and #)"
2019-03-18 11:01:00,1
2019-03-18 11:14:00,2
