129,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-03-18 12:01:00,5
2019-03-18 12:02:00,6
2019-03-18 12:03:00,1
2019-03-18 12:08:00,1
2019-03-18 12:09:00,3
2019-03-18 12:11:00,1
2019-03-18 12:13:00,4
2019-03-18 12:14:00,5
2019-03-18 12:15:00,5
2019-03-18 12:16:00,4
2019-03-18 12:17:00,4
2019-03-18 12:18:00,4
2019-03-18 12:19:00,6
2019-03-18 12:20:00,5
2019-03-18 12:21:00,4
2019-03-18 12:22:00,5
2019-03-18 12:23:00,5
2019-03-18 12:24:00,5
2019-03-18 12:25:00,6
2019-03-18 12:26:00,6
2019-03-18 12:27:00,5
2019-03-18 12:28:00,4
2019-03-18 12:29:00,4
2019-03-18 12:30:00,3
2019-03-18 12:31:00,4
2019-03-18 12:32:00,4
2019-03-18 12:33:00,4
2019-03-18 12:34:00,6
2019-03-18 12:35:00,5
2019-03-18 12:36:00,5
