201,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-18 00:01:00,1
2019-03-18 00:03:00,1
2019-03-18 00:05:00,4
2019-03-18 00:07:00,1
2019-03-18 00:10:00,2
2019-03-18 00:20:00,1
2019-03-18 00:25:00,1
2019-03-18 00:30:00,3
2019-03-18 00:31:00,1
2019-03-18 00:33:00,1
2019-03-18 00:35:00,3
2019-03-18 00:40:00,9
2019-03-18 00:45:00,9
2019-03-18 02:05:00,3
2019-03-18 06:00:00,2
2019-03-18 07:01:00,1
2019-03-18 07:03:00,1
2019-03-18 07:05:00,5
2019-03-18 07:07:00,1
2019-03-18 07:09:00,1
2019-03-18 07:12:00,1
2019-03-18 08:45:00,1
2019-03-18 08:50:00,1
2019-03-18 09:35:00,1
2019-03-18 10:05:00,8
2019-03-18 10:10:00,6
2019-03-18 10:45:00,21
2019-03-18 10:50:00,13
2019-03-18 11:33:00,1
2019-03-18 11:35:00,1
2019-03-18 12:45:00,33
2019-03-18 12:50:00,5
2019-03-18 13:35:00,1
2019-03-18 13:40:00,1
2019-03-18 14:05:00,2
2019-03-18 14:10:00,1
2019-03-18 14:15:00,3
2019-03-18 14:20:00,3
2019-03-18 14:25:00,6
2019-03-18 14:30:00,1
2019-03-18 14:32:00,4
2019-03-18 14:50:00,3
2019-03-18 14:55:00,1
2019-03-18 15:00:00,14
2019-03-18 15:05:00,13
2019-03-18 15:35:00,1
2019-03-18 15:40:00,1
2019-03-18 15:45:00,1
2019-03-18 20:35:00,1
2019-03-18 20:38:00,1
