15,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-29 07:35:00,1
2019-03-29 08:04:00,1
2019-03-29 08:27:00,1
2019-03-29 08:58:00,1
2019-03-29 10:02:00,1
2019-03-29 10:27:00,1
2019-03-29 10:55:00,1
2019-03-29 11:19:00,1
2019-03-29 11:52:00,1
2019-03-29 12:42:00,1
2019-03-29 13:17:00,1
2019-03-29 13:30:00,1
2019-03-29 13:51:00,1
2019-03-29 14:16:00,1
2019-03-29 14:34:00,1
