473,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-29 01:22:00,2
2019-03-29 04:42:00,1
2019-03-29 13:36:00,1
2019-03-29 13:38:00,9
2019-03-29 13:56:00,22
2019-03-29 13:57:00,317
2019-03-29 13:58:00,89
2019-03-29 17:15:00,2
2019-03-29 18:29:00,20
2019-03-29 20:13:00,2
2019-03-29 20:14:00,1
2019-03-29 20:15:00,1
2019-03-29 20:16:00,1
2019-03-29 20:17:00,1
2019-03-29 20:18:00,1
2019-03-29 20:19:00,1
2019-03-29 20:20:00,1
2019-03-29 20:27:00,1
