18,"SELECT ra,dec,r FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND r < # AND r > # AND clean = #"
2019-03-29 11:04:00,1
2019-03-29 11:34:00,1
2019-03-29 12:11:00,1
2019-03-29 12:15:00,1
2019-03-29 12:38:00,2
2019-03-29 12:57:00,1
2019-03-29 13:13:00,1
2019-03-29 13:45:00,1
2019-03-29 14:01:00,1
2019-03-29 14:22:00,1
2019-03-29 15:02:00,1
2019-03-29 15:15:00,1
2019-03-29 15:27:00,1
2019-03-29 15:40:00,1
2019-03-29 15:54:00,1
2019-03-29 16:06:00,1
2019-03-29 16:22:00,1
