12,"select top # p.objid, p.ra, p.dec from photoobj p where (p.r BETWEEN # AND #)"
2019-03-29 19:27:00,1
2019-03-29 19:28:00,2
2019-03-29 19:31:00,1
2019-03-29 19:32:00,1
2019-03-29 19:34:00,2
2019-03-29 19:35:00,1
2019-03-29 19:36:00,1
2019-03-29 19:41:00,1
2019-03-29 20:06:00,1
2019-03-29 20:07:00,1
