2478,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-03-29 00:59:00,3
2019-03-29 01:53:00,48
2019-03-29 01:54:00,52
2019-03-29 01:57:00,17
2019-03-29 01:58:00,83
2019-03-29 02:00:00,153
2019-03-29 02:01:00,153
2019-03-29 02:02:00,129
2019-03-29 02:03:00,574
2019-03-29 02:04:00,282
2019-03-29 02:05:00,384
2019-03-29 02:31:00,95
2019-03-29 02:32:00,5
2019-03-29 10:28:00,150
2019-03-29 10:29:00,183
2019-03-29 10:30:00,167
