2332,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-29 12:33:00,15
2019-03-29 12:34:00,18
2019-03-29 12:39:00,156
2019-03-29 12:40:00,132
2019-03-29 12:41:00,187
2019-03-29 12:45:00,19
2019-03-29 12:50:00,34
2019-03-29 12:51:00,133
2019-03-29 12:52:00,65
2019-03-29 12:55:00,216
2019-03-29 12:56:00,88
2019-03-29 13:03:00,32
2019-03-29 13:05:00,40
2019-03-29 13:06:00,94
2019-03-29 13:16:00,32
2019-03-29 13:17:00,10
2019-03-29 13:18:00,37
2019-03-29 13:19:00,44
2019-03-29 13:20:00,41
2019-03-29 13:22:00,41
2019-03-29 13:23:00,52
2019-03-29 13:33:00,12
2019-03-29 13:34:00,2
2019-03-29 13:38:00,14
2019-03-29 13:40:00,180
2019-03-29 13:41:00,121
2019-03-29 13:58:00,1
2019-03-29 13:59:00,31
2019-03-29 14:00:00,135
2019-03-29 14:01:00,33
2019-03-29 14:02:00,31
2019-03-29 14:03:00,48
2019-03-29 14:04:00,29
2019-03-29 14:05:00,33
2019-03-29 14:12:00,24
2019-03-29 14:15:00,9
2019-03-29 14:16:00,23
2019-03-29 14:17:00,13
2019-03-29 14:18:00,83
2019-03-29 14:19:00,10
2019-03-29 14:20:00,14
