15,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-29 05:36:00,1
2019-03-29 07:37:00,1
2019-03-29 08:06:00,1
2019-03-29 08:29:00,1
2019-03-29 09:00:00,1
2019-03-29 10:04:00,1
2019-03-29 10:57:00,1
2019-03-29 11:54:00,1
2019-03-29 12:44:00,1
2019-03-29 13:18:00,1
2019-03-29 13:30:00,1
2019-03-29 13:39:00,1
2019-03-29 14:05:00,1
2019-03-29 14:16:00,1
2019-03-29 14:35:00,1
