11,"SELECT TOP # specObjID, survey, bestobjid, z /*Table of top # objects with redshift, survey they are in, and object ID for searching*/  FROM SpecObj /*Objects with spectra*/  WHERE class = &&& /* The objects shown will all be QSO&&&sdss&&&boss') /*searching across both the legacy and boss surveys (and not other surveys) */ order by newid() /* This is the randomisation algorithm */"
2019-03-29 08:39:00,2
2019-03-29 08:40:00,1
2019-03-29 13:27:00,1
2019-03-29 13:50:00,1
2019-03-29 14:24:00,1
2019-03-29 14:39:00,1
2019-03-29 14:53:00,1
2019-03-29 15:03:00,1
2019-03-29 15:13:00,1
2019-03-29 15:22:00,1
