62,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-03-29 03:38:00,2
2019-03-29 03:59:00,1
2019-03-29 04:03:00,2
2019-03-29 04:05:00,1
2019-03-29 08:51:00,1
2019-03-29 10:15:00,1
2019-03-29 11:03:00,1
2019-03-29 13:24:00,1
2019-03-29 14:56:00,1
2019-03-29 15:07:00,1
2019-03-29 15:28:00,1
2019-03-29 17:33:00,1
2019-03-29 17:44:00,1
2019-03-29 18:31:00,9
2019-03-29 18:32:00,6
2019-03-29 19:06:00,1
2019-03-29 20:01:00,1
2019-03-29 21:35:00,19
2019-03-29 23:48:00,11
