15,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-29 05:26:00,1
2019-03-29 07:34:00,1
2019-03-29 08:03:00,1
2019-03-29 08:26:00,1
2019-03-29 08:57:00,1
2019-03-29 10:01:00,1
2019-03-29 10:54:00,1
2019-03-29 11:51:00,1
2019-03-29 12:15:00,1
2019-03-29 12:41:00,1
2019-03-29 13:16:00,1
2019-03-29 13:29:00,1
2019-03-29 13:37:00,1
2019-03-29 14:16:00,1
2019-03-29 14:34:00,1
