57,select * from A2#_DR1#_within1#
2019-03-29 01:07:00,1
2019-03-29 01:08:00,1
2019-03-29 01:09:00,1
2019-03-29 01:11:00,1
2019-03-29 01:12:00,1
2019-03-29 01:13:00,1
2019-03-29 01:14:00,1
2019-03-29 01:19:00,1
2019-03-29 01:20:00,1
2019-03-29 01:23:00,2
2019-03-29 01:26:00,1
2019-03-29 01:27:00,1
2019-03-29 01:33:00,2
2019-03-29 01:36:00,1
2019-03-29 01:37:00,1
2019-03-29 01:38:00,2
2019-03-29 01:41:00,1
2019-03-29 01:43:00,1
2019-03-29 01:46:00,1
2019-03-29 01:48:00,1
2019-03-29 01:51:00,1
2019-03-29 01:52:00,1
2019-03-29 01:54:00,1
2019-03-29 01:56:00,1
2019-03-29 02:01:00,2
2019-03-29 02:02:00,1
2019-03-29 02:05:00,1
2019-03-29 02:06:00,2
2019-03-29 02:08:00,2
2019-03-29 02:12:00,1
2019-03-29 02:18:00,2
2019-03-29 02:21:00,1
2019-03-29 02:23:00,1
2019-03-29 02:24:00,1
2019-03-29 02:31:00,1
2019-03-29 02:32:00,1
2019-03-29 02:33:00,2
2019-03-29 02:37:00,2
2019-03-29 02:39:00,1
2019-03-29 02:41:00,1
2019-03-29 02:45:00,2
2019-03-29 02:48:00,2
2019-03-29 15:02:00,1
2019-03-29 15:20:00,1
2019-03-29 15:23:00,1
2019-03-29 15:38:00,1
