13,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-29 07:33:00,1
2019-03-29 08:02:00,1
2019-03-29 08:25:00,1
2019-03-29 08:56:00,1
2019-03-29 10:00:00,1
2019-03-29 10:53:00,1
2019-03-29 11:49:00,1
2019-03-29 12:39:00,1
2019-03-29 13:15:00,1
2019-03-29 13:29:00,1
2019-03-29 13:36:00,1
2019-03-29 14:15:00,1
2019-03-29 14:33:00,1
