62,"SELECT  s.objid,sz.ra as ra,sz.dec as dec,pz.z as photoz,pz.zerr as photozerr,sz.z as specz, sz.zerr as speczerr,b.distance as proj_sep,s.modelMag_u as umag,s.modelMagErr_u as umagerr, s.modelMag_g as gmag,s.modelMagErr_g as gmagerr,s.modelMag_r as rmag, s.modelMagerr_r as rmagerr, s.type as obj_type  FROM BESTDR1#..PhotoObjAll as s  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = S.objID  JOIN Photoz as pz ON pz.objid = s.objid  JOIN specObjAll as sz ON sz.bestobjid = s.objid  WHERE (s.type=# and pz.z > # and pz.z < #)"
2019-03-29 08:41:00,4
2019-03-29 08:43:00,3
2019-03-29 08:44:00,1
2019-03-29 08:45:00,3
2019-03-29 08:52:00,1
2019-03-29 08:53:00,2
2019-03-29 08:54:00,3
2019-03-29 08:55:00,3
2019-03-29 08:59:00,2
2019-03-29 09:00:00,4
2019-03-29 09:01:00,6
2019-03-29 09:02:00,6
2019-03-29 09:05:00,1
2019-03-29 09:07:00,1
2019-03-29 09:08:00,3
2019-03-29 09:09:00,1
2019-03-29 09:10:00,4
2019-03-29 09:12:00,2
2019-03-29 09:13:00,4
2019-03-29 09:14:00,4
2019-03-29 09:15:00,4
