2,"SELECT SPA.ra, SPA.dec, SPA.z, SPA.petroMag_g, SPA.petroMag_r into GU2#_hw2    From SpecPhotoAll as SPA    Where   SPA.class = &&& and SPA.z < #"
2019-03-29 03:52:00,1
2019-03-29 03:53:00,1
