2,"select top # p.objid as name, p.ra, p.dec from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and (p.g BETWEEN # AND #) and (p.r BETWEEN # AND #) and (p.g-p.r BETWEEN # AND #)"
2019-03-19 03:22:00,1
2019-03-19 03:26:00,1
