26,"SELECT TOP #   objID, ra, dec,   sqrt( power(rowv,#) + power(colv, #) ) as velocity   FROM PhotoObj   WHERE   (power(rowv,#) + power(colv, #)) > #   AND rowv != # and colv != #"
2019-03-19 09:55:00,1
2019-03-19 14:48:00,1
2019-03-19 14:49:00,3
2019-03-19 14:51:00,1
2019-03-19 14:53:00,1
2019-03-19 14:54:00,1
2019-03-19 14:56:00,1
2019-03-19 14:58:00,1
2019-03-19 14:59:00,1
2019-03-19 15:01:00,1
2019-03-19 16:16:00,1
2019-03-19 16:17:00,1
2019-03-19 16:19:00,4
2019-03-19 16:20:00,1
2019-03-19 16:22:00,1
2019-03-19 16:24:00,3
2019-03-19 18:31:00,1
2019-03-19 18:33:00,1
2019-03-19 23:16:00,1
