4,"SELECT objID,ra,dec,mjd,u,g,r,i,z,offsetRa_r,offsetRa_i,offsetRa_g,offsetDec_r,offsetDec_i,offsetDec_g FROM photoObj WHERE ra > # and ra < # and dec > # and dec < # ORDER BY r"
2019-03-19 05:34:00,2
2019-03-19 05:47:00,1
2019-03-19 06:00:00,1
