3,"select top # objid, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z,z into mydb.MyTable_# from SpecPhoto  where (specclass=# or specclass=#) and zconf > .#"
2019-03-19 14:38:00,2
2019-03-19 14:39:00,1
