19,"SELECT up_id,  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) as SpecobjId   FROM #upload  WHERE  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   s.ra,s.dec,s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN #x AS x ON x.SpecobjID=s.SpecobjID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  s.z > # AND s.z < # AND s.zWarning = #   ORDER BY x.up_id"
2019-03-19 00:02:00,1
2019-03-19 00:04:00,1
2019-03-19 00:22:00,1
2019-03-19 00:25:00,1
2019-03-19 00:27:00,1
2019-03-19 00:29:00,1
2019-03-19 00:31:00,1
2019-03-19 00:35:00,1
2019-03-19 00:37:00,1
2019-03-19 00:42:00,1
2019-03-19 00:43:00,1
2019-03-19 00:45:00,1
2019-03-19 00:46:00,1
2019-03-19 00:47:00,1
2019-03-19 00:52:00,1
2019-03-19 00:54:00,1
2019-03-19 00:56:00,1
2019-03-19 01:01:00,1
2019-03-19 01:06:00,1
