9,"SELECT TOP #  p.objid,p.g,p.r FROM PhotoObj AS p WHERE   p.g BETWEEN # AND #  AND p.r BETWEEN # AND #"
2019-03-19 20:19:00,1
2019-03-19 20:25:00,2
2019-03-19 20:26:00,2
2019-03-19 20:32:00,2
2019-03-19 20:37:00,1
2019-03-19 20:38:00,1
