13,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-03-19 02:05:00,2
2019-03-19 05:39:00,1
2019-03-19 06:04:00,1
2019-03-19 06:07:00,1
2019-03-19 06:41:00,1
2019-03-19 07:01:00,3
2019-03-19 17:44:00,1
2019-03-19 20:15:00,1
2019-03-19 20:16:00,1
2019-03-19 22:01:00,1
