646,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-03-19 00:28:00,42
2019-03-19 00:40:00,42
2019-03-19 01:06:00,42
2019-03-19 01:47:00,42
2019-03-19 02:47:00,42
2019-03-19 03:28:00,18
2019-03-19 04:46:00,42
2019-03-19 05:03:00,42
2019-03-19 10:19:00,42
2019-03-19 10:47:00,42
2019-03-19 12:43:00,84
2019-03-19 13:13:00,84
2019-03-19 14:39:00,42
2019-03-19 16:13:00,1
2019-03-19 19:48:00,2
2019-03-19 19:49:00,1
2019-03-19 22:15:00,18
2019-03-19 22:17:00,18
