2,"SELECT Frame.img into GU2#_a    From Frame as Frame, SpecPhotoAll as Gal    Where   Gal.z < # and Gal.fieldID = Frame.fieldID"
2019-03-19 08:37:00,1
2019-03-19 08:38:00,1
