13,"select top # bestobjid, z from specobj where class = &&& and z between # and # and zwarning = #"
2019-03-19 13:12:00,1
2019-03-19 13:13:00,1
2019-03-19 13:15:00,1
2019-03-19 13:18:00,1
2019-03-19 13:19:00,1
2019-03-19 13:21:00,1
2019-03-19 13:22:00,2
2019-03-19 13:23:00,1
2019-03-19 13:25:00,1
2019-03-19 13:27:00,1
2019-03-19 13:28:00,1
2019-03-19 13:30:00,1
