234,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-08-25 05:00:00,3
2019-08-25 05:01:00,4
2019-08-25 05:02:00,8
2019-08-25 05:03:00,15
2019-08-25 05:04:00,14
2019-08-25 05:05:00,9
2019-08-25 05:06:00,15
2019-08-25 05:07:00,15
2019-08-25 05:08:00,15
2019-08-25 05:09:00,15
2019-08-25 05:10:00,14
2019-08-25 05:11:00,15
2019-08-25 05:12:00,15
2019-08-25 05:13:00,15
2019-08-25 05:14:00,8
2019-08-25 05:15:00,14
2019-08-25 05:16:00,15
2019-08-25 05:17:00,15
2019-08-25 05:18:00,3
2019-08-25 05:19:00,4
2019-08-25 18:02:00,1
2019-08-25 18:03:00,1
2019-08-25 18:04:00,1
