365,select * from Photoz2 where objid=#
2019-08-25 00:51:00,1
2019-08-25 05:02:00,2
2019-08-25 05:03:00,7
2019-08-25 05:04:00,8
2019-08-25 05:05:00,5
2019-08-25 05:06:00,8
2019-08-25 05:07:00,8
2019-08-25 05:08:00,7
2019-08-25 05:09:00,7
2019-08-25 05:10:00,8
2019-08-25 05:11:00,8
2019-08-25 05:12:00,7
2019-08-25 05:13:00,7
2019-08-25 05:14:00,8
2019-08-25 05:15:00,7
2019-08-25 05:16:00,6
2019-08-25 05:17:00,6
2019-08-25 05:18:00,7
2019-08-25 05:19:00,7
2019-08-25 05:20:00,5
2019-08-25 05:21:00,7
2019-08-25 05:22:00,6
2019-08-25 05:23:00,6
2019-08-25 05:24:00,7
2019-08-25 05:25:00,6
2019-08-25 05:26:00,4
2019-08-25 05:27:00,5
2019-08-25 05:28:00,8
2019-08-25 05:29:00,7
2019-08-25 05:30:00,5
2019-08-25 05:31:00,7
2019-08-25 05:32:00,7
2019-08-25 05:33:00,5
2019-08-25 09:01:00,12
2019-08-25 09:02:00,14
2019-08-25 09:03:00,3
2019-08-25 12:14:00,6
2019-08-25 12:15:00,16
2019-08-25 12:16:00,1
2019-08-25 15:50:00,6
2019-08-25 17:52:00,2
2019-08-25 17:53:00,8
2019-08-25 17:54:00,7
2019-08-25 17:55:00,9
2019-08-25 17:56:00,8
2019-08-25 17:57:00,8
2019-08-25 17:58:00,7
2019-08-25 17:59:00,7
2019-08-25 18:00:00,9
2019-08-25 18:01:00,8
2019-08-25 18:02:00,8
2019-08-25 18:03:00,9
2019-08-25 18:04:00,6
2019-08-25 19:55:00,1
2019-08-25 22:20:00,1
