159,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-11-14 00:13:00,1
2019-11-14 00:21:00,1
2019-11-14 00:23:00,1
2019-11-14 00:53:00,1
2019-11-14 00:59:00,1
2019-11-14 01:01:00,1
2019-11-14 01:02:00,1
2019-11-14 01:39:00,2
2019-11-14 02:50:00,1
2019-11-14 10:14:00,2
2019-11-14 10:15:00,5
2019-11-14 13:14:00,1
2019-11-14 13:15:00,4
2019-11-14 13:29:00,2
2019-11-14 13:42:00,3
2019-11-14 13:43:00,4
2019-11-14 13:50:00,2
2019-11-14 13:51:00,2
2019-11-14 13:57:00,3
2019-11-14 13:58:00,5
2019-11-14 14:06:00,8
2019-11-14 14:07:00,2
2019-11-14 14:15:00,2
2019-11-14 14:16:00,2
2019-11-14 14:31:00,7
2019-11-14 14:32:00,1
2019-11-14 14:38:00,3
2019-11-14 14:39:00,4
2019-11-14 14:46:00,3
2019-11-14 14:47:00,1
2019-11-14 14:59:00,1
2019-11-14 15:00:00,5
2019-11-14 15:10:00,4
2019-11-14 15:11:00,1
2019-11-14 15:19:00,4
2019-11-14 15:20:00,3
2019-11-14 15:30:00,5
2019-11-14 15:31:00,4
2019-11-14 15:37:00,1
2019-11-14 15:40:00,1
2019-11-14 15:41:00,2
2019-11-14 15:59:00,4
2019-11-14 16:00:00,1
2019-11-14 16:08:00,4
2019-11-14 16:16:00,5
2019-11-14 16:17:00,1
2019-11-14 16:24:00,4
2019-11-14 16:25:00,2
2019-11-14 16:32:00,2
2019-11-14 16:33:00,3
2019-11-14 16:53:00,3
2019-11-14 16:54:00,1
2019-11-14 16:55:00,2
2019-11-14 16:56:00,3
2019-11-14 16:57:00,2
2019-11-14 16:58:00,3
2019-11-14 16:59:00,1
2019-11-14 17:00:00,3
2019-11-14 18:55:00,1
2019-11-14 19:22:00,1
2019-11-14 19:39:00,1
2019-11-14 19:46:00,1
2019-11-14 20:35:00,1
2019-11-14 21:31:00,1
2019-11-14 21:32:00,2
