17,"select yy, mm, dd, hh, mi, ss,  logID, clientIP, requestor, server, dbname, access,  elapsed, busy, rows, statement, error, errorMessage, isvisible  into sqllogall2#_#_#h_to_#_#h  from sqllogall  where yy = #   and mm between # and #   and dd between # and #   and hh between # and #"
2019-11-14 09:30:00,1
2019-11-14 09:40:00,1
2019-11-14 10:15:00,1
2019-11-14 10:29:00,1
2019-11-14 10:47:00,1
2019-11-14 11:34:00,1
2019-11-14 12:04:00,1
2019-11-14 12:22:00,1
2019-11-14 13:04:00,1
2019-11-14 13:19:00,1
2019-11-14 14:22:00,1
2019-11-14 14:50:00,1
2019-11-14 15:07:00,1
2019-11-14 15:27:00,1
2019-11-14 15:47:00,1
2019-11-14 16:34:00,1
2019-11-14 17:10:00,1
