548,select * from fDocFunctionParams(&&&)
2019-11-14 00:55:00,1
2019-11-14 01:45:00,1
2019-11-14 02:14:00,1
2019-11-14 02:34:00,1
2019-11-14 04:35:00,3
2019-11-14 05:29:00,1
2019-11-14 07:13:00,3
2019-11-14 08:48:00,25
2019-11-14 10:01:00,1
2019-11-14 10:43:00,1
2019-11-14 11:04:00,1
2019-11-14 12:02:00,17
2019-11-14 12:03:00,22
2019-11-14 12:04:00,10
2019-11-14 13:57:00,1
2019-11-14 14:20:00,29
2019-11-14 14:21:00,14
2019-11-14 14:22:00,1
2019-11-14 14:36:00,31
2019-11-14 14:37:00,23
2019-11-14 14:38:00,32
2019-11-14 14:39:00,17
2019-11-14 14:40:00,45
2019-11-14 14:41:00,23
2019-11-14 14:42:00,27
2019-11-14 14:43:00,26
2019-11-14 14:44:00,29
2019-11-14 14:45:00,32
2019-11-14 14:46:00,22
2019-11-14 14:47:00,27
2019-11-14 14:48:00,12
2019-11-14 14:49:00,23
2019-11-14 14:50:00,23
2019-11-14 14:51:00,12
2019-11-14 14:56:00,2
2019-11-14 17:31:00,3
2019-11-14 18:35:00,1
2019-11-14 18:38:00,1
2019-11-14 19:26:00,1
2019-11-14 20:08:00,1
2019-11-14 21:48:00,2
