2,"SELECT  TOP # objID,ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z,dered_u,dered_g,dered_r,dered_i,dered_z   from Galaxy  WHERE (((ra BETWEEN # AND # AND  RAND()<#) OR (ra>=# AND  RAND()<#)) AND (dec BETWEEN # AND # ) )"
2019-11-14 02:44:00,1
2019-11-14 03:02:00,1
