21,"SELECT TOP # G.objID, GN.distance FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#.,#, #) AS GN ON G.objID = GN.objID ORDER BY distance"
2019-11-14 15:29:00,1
2019-11-14 15:30:00,2
2019-11-14 15:33:00,1
2019-11-14 15:35:00,1
2019-11-14 15:39:00,1
2019-11-14 15:46:00,1
2019-11-14 15:47:00,3
2019-11-14 16:00:00,1
2019-11-14 16:01:00,1
2019-11-14 16:02:00,1
2019-11-14 16:14:00,3
2019-11-14 16:15:00,1
2019-11-14 16:21:00,1
2019-11-14 16:22:00,1
2019-11-14 16:24:00,1
2019-11-14 19:06:00,1
