17,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-11-14 14:32:00,1
2019-11-14 14:48:00,1
2019-11-14 14:51:00,1
2019-11-14 14:54:00,1
2019-11-14 14:56:00,1
2019-11-14 14:57:00,1
2019-11-14 15:01:00,1
2019-11-14 15:59:00,1
2019-11-14 16:00:00,1
2019-11-14 17:10:00,1
2019-11-14 17:16:00,1
2019-11-14 18:54:00,1
2019-11-14 19:22:00,1
2019-11-14 20:51:00,1
2019-11-14 21:16:00,1
2019-11-14 22:17:00,1
2019-11-14 22:21:00,1
