35,"SELECT TOP # u, g, r, i, z FROM Galaxy WHERE (htmid*# & #) < (# * #)"
2019-11-14 16:07:00,1
2019-11-14 16:08:00,1
2019-11-14 16:39:00,1
2019-11-14 16:40:00,1
2019-11-14 16:43:00,1
2019-11-14 16:45:00,1
2019-11-14 16:49:00,1
2019-11-14 16:50:00,1
2019-11-14 17:59:00,2
2019-11-14 18:00:00,1
2019-11-14 18:01:00,3
2019-11-14 18:02:00,7
2019-11-14 18:03:00,2
2019-11-14 18:04:00,3
2019-11-14 18:06:00,3
2019-11-14 18:07:00,1
2019-11-14 18:56:00,1
2019-11-14 18:57:00,1
2019-11-14 18:59:00,1
2019-11-14 19:09:00,1
2019-11-14 21:33:00,1
