5152,"SELECT Distinct s.specObjID, s.ra, s.dec, s.plate, s.mjd, s.fiberID     FROM dbo.SpecObjAll AS s     WHERE SQUARE(s.ra - #) + SQUARE(s.dec - #) < @r and s.z > #"
2019-11-14 06:54:00,1
2019-11-14 06:57:00,33
2019-11-14 06:58:00,54
2019-11-14 06:59:00,54
2019-11-14 07:00:00,48
2019-11-14 07:01:00,55
2019-11-14 07:02:00,54
2019-11-14 07:03:00,56
2019-11-14 07:04:00,55
2019-11-14 07:05:00,55
2019-11-14 07:06:00,54
2019-11-14 07:07:00,54
2019-11-14 07:08:00,54
2019-11-14 07:09:00,55
2019-11-14 07:10:00,55
2019-11-14 07:11:00,55
2019-11-14 07:12:00,55
2019-11-14 07:13:00,55
2019-11-14 07:14:00,55
2019-11-14 07:15:00,56
2019-11-14 07:16:00,55
2019-11-14 07:17:00,54
2019-11-14 07:18:00,55
2019-11-14 07:19:00,56
2019-11-14 07:20:00,55
2019-11-14 07:21:00,55
2019-11-14 07:22:00,55
2019-11-14 07:23:00,55
2019-11-14 07:24:00,55
2019-11-14 07:25:00,56
2019-11-14 07:26:00,55
2019-11-14 07:27:00,55
2019-11-14 07:28:00,56
2019-11-14 07:29:00,55
2019-11-14 07:30:00,55
2019-11-14 07:31:00,55
2019-11-14 07:32:00,56
2019-11-14 07:33:00,56
2019-11-14 07:34:00,56
2019-11-14 07:35:00,55
2019-11-14 07:36:00,56
2019-11-14 07:37:00,54
2019-11-14 07:38:00,56
2019-11-14 07:39:00,56
2019-11-14 07:40:00,56
2019-11-14 07:41:00,55
2019-11-14 07:42:00,56
2019-11-14 07:43:00,54
2019-11-14 07:44:00,56
2019-11-14 07:45:00,54
2019-11-14 07:46:00,55
2019-11-14 07:47:00,54
2019-11-14 07:48:00,54
2019-11-14 07:49:00,55
2019-11-14 07:50:00,55
2019-11-14 07:51:00,55
2019-11-14 07:52:00,54
2019-11-14 07:53:00,51
2019-11-14 07:54:00,54
2019-11-14 07:55:00,55
2019-11-14 07:56:00,54
2019-11-14 07:57:00,54
2019-11-14 07:58:00,53
2019-11-14 07:59:00,51
2019-11-14 08:00:00,47
2019-11-14 08:01:00,50
2019-11-14 08:02:00,50
2019-11-14 08:03:00,51
2019-11-14 08:04:00,51
2019-11-14 08:05:00,51
2019-11-14 08:06:00,52
2019-11-14 08:07:00,51
2019-11-14 08:08:00,52
2019-11-14 08:09:00,53
2019-11-14 08:10:00,52
2019-11-14 08:11:00,51
2019-11-14 08:12:00,50
2019-11-14 08:13:00,54
2019-11-14 08:14:00,52
2019-11-14 08:15:00,55
2019-11-14 08:16:00,52
2019-11-14 08:17:00,52
2019-11-14 08:18:00,54
2019-11-14 08:19:00,49
2019-11-14 08:20:00,50
2019-11-14 08:21:00,50
2019-11-14 08:22:00,52
2019-11-14 08:23:00,51
2019-11-14 08:24:00,52
2019-11-14 08:25:00,52
2019-11-14 08:26:00,53
2019-11-14 08:27:00,50
2019-11-14 08:28:00,49
2019-11-14 08:29:00,50
2019-11-14 08:30:00,51
2019-11-14 08:31:00,51
2019-11-14 08:32:00,53
2019-11-14 08:33:00,34
