657,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-14 00:43:00,1
2019-11-14 00:44:00,3
2019-11-14 00:45:00,31
2019-11-14 00:46:00,33
2019-11-14 00:47:00,32
2019-11-14 00:48:00,31
2019-11-14 00:49:00,26
2019-11-14 00:50:00,27
2019-11-14 00:51:00,26
2019-11-14 00:52:00,30
2019-11-14 00:53:00,31
2019-11-14 00:54:00,32
2019-11-14 00:55:00,31
2019-11-14 00:56:00,31
2019-11-14 00:57:00,33
2019-11-14 00:58:00,34
2019-11-14 00:59:00,32
2019-11-14 01:00:00,33
2019-11-14 01:01:00,32
2019-11-14 01:02:00,27
2019-11-14 01:03:00,26
2019-11-14 01:04:00,26
2019-11-14 01:05:00,26
2019-11-14 01:06:00,23
