93,"SELECT TOP #  p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z,   p.run, p.rerun, p.camcol, p.field,   s.specobjid, s.class, s.z as redshift,   s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-11-14 15:17:00,1
2019-11-14 15:27:00,1
2019-11-14 15:28:00,1
2019-11-14 15:47:00,1
2019-11-14 15:48:00,4
2019-11-14 15:49:00,6
2019-11-14 15:50:00,1
2019-11-14 16:24:00,3
2019-11-14 16:25:00,5
2019-11-14 16:26:00,2
2019-11-14 16:27:00,2
2019-11-14 16:30:00,2
2019-11-14 16:31:00,2
2019-11-14 16:35:00,1
2019-11-14 16:39:00,1
2019-11-14 16:48:00,1
2019-11-14 16:49:00,1
2019-11-14 16:53:00,1
2019-11-14 16:54:00,2
2019-11-14 17:24:00,2
2019-11-14 17:49:00,1
2019-11-14 18:12:00,2
2019-11-14 18:13:00,4
2019-11-14 18:14:00,6
2019-11-14 18:15:00,1
2019-11-14 18:16:00,2
2019-11-14 18:17:00,1
2019-11-14 18:18:00,1
2019-11-14 18:19:00,1
2019-11-14 18:22:00,7
2019-11-14 18:23:00,8
2019-11-14 18:29:00,1
2019-11-14 18:44:00,1
2019-11-14 18:48:00,6
2019-11-14 18:49:00,7
2019-11-14 18:50:00,4
