25,"SELECT TOP # u,g,r,i,z,ra,dec, flags_r FROM Star WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ((flags_r & #) != #) AND ((flags_r & #) = #) AND (((flags_r & #) = #) or (psfmagerr_r <= #)) AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-11-14 16:50:00,1
2019-11-14 16:51:00,1
2019-11-14 17:51:00,2
2019-11-14 17:52:00,1
2019-11-14 17:53:00,2
2019-11-14 17:54:00,3
2019-11-14 17:55:00,3
2019-11-14 17:56:00,4
2019-11-14 18:46:00,1
2019-11-14 18:47:00,6
2019-11-14 19:53:00,1
