3,"SELECT   g.ObjId, g.ra, g.dec, g.run, g.camcol, g.field, g.insideMask, g.cmodelMag_r, g.cmodelMagErr_r, p.z, p.zErr into mydb.DR1#_test from Galaxy as g     join Photoz as p on p.Objid = g.ObjId   where g.type=&&& and g.cmodelMag_r < &&& and g.insideMask = &&& and p.z > &&&     and g.ra between &&& and &&& and g.dec between &&& and &&&"
2019-11-14 08:18:00,2
2019-11-14 08:19:00,1
