503,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  f.z as photoz, f.zErr as photoZerr, GN.distance,  s.specobjid, s.class, s.z as redshift, s.zErr as errredshift, s.plate, s.mjd, s.fiberid  FROM PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#, #) AS GN on p.objid = GN.objid   join Photoz as f ON f.objid = GN.objid   LEFT OUTER JOIN SpecObj AS s ON s.bestobjid = GN.objid"
2019-11-14 11:53:00,14
2019-11-14 12:00:00,14
2019-11-14 12:07:00,14
2019-11-14 12:08:00,14
2019-11-14 12:10:00,11
2019-11-14 12:11:00,17
2019-11-14 12:23:00,14
2019-11-14 12:24:00,14
2019-11-14 12:32:00,14
2019-11-14 12:33:00,23
2019-11-14 12:34:00,7
2019-11-14 12:52:00,14
2019-11-14 12:53:00,5
2019-11-14 12:54:00,9
2019-11-14 13:01:00,5
2019-11-14 13:02:00,9
2019-11-14 13:03:00,14
2019-11-14 13:20:00,14
2019-11-14 13:45:00,14
2019-11-14 13:47:00,14
2019-11-14 13:48:00,2
2019-11-14 13:49:00,12
2019-11-14 13:53:00,46
2019-11-14 13:55:00,14
2019-11-14 13:56:00,14
2019-11-14 13:57:00,14
2019-11-14 14:03:00,14
2019-11-14 14:05:00,12
2019-11-14 14:06:00,13
2019-11-14 14:07:00,3
2019-11-14 16:07:00,7
2019-11-14 16:08:00,14
2019-11-14 16:16:00,4
2019-11-14 16:17:00,10
2019-11-14 16:18:00,14
2019-11-14 16:23:00,14
2019-11-14 16:41:00,14
2019-11-14 17:19:00,14
2019-11-14 17:23:00,7
2019-11-14 17:24:00,7
