667,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-14 13:06:00,10
2019-11-14 13:08:00,10
2019-11-14 13:09:00,2
2019-11-14 13:10:00,8
2019-11-14 13:11:00,10
2019-11-14 13:12:00,10
2019-11-14 13:13:00,15
2019-11-14 13:14:00,6
2019-11-14 13:15:00,10
2019-11-14 13:17:00,10
2019-11-14 13:18:00,7
2019-11-14 13:19:00,3
2019-11-14 13:20:00,6
2019-11-14 13:21:00,4
2019-11-14 13:22:00,3
2019-11-14 13:23:00,7
2019-11-14 13:24:00,3
2019-11-14 13:25:00,5
2019-11-14 13:26:00,5
2019-11-14 14:54:00,10
2019-11-14 14:56:00,10
2019-11-14 14:58:00,10
2019-11-14 15:06:00,10
2019-11-14 15:08:00,10
2019-11-14 15:10:00,10
2019-11-14 15:39:00,1
2019-11-14 15:41:00,1
2019-11-14 15:48:00,3
2019-11-14 15:49:00,7
2019-11-14 15:50:00,10
2019-11-14 15:52:00,8
2019-11-14 15:53:00,2
2019-11-14 18:04:00,10
2019-11-14 18:09:00,10
2019-11-14 18:15:00,10
2019-11-14 18:20:00,10
2019-11-14 18:25:00,10
2019-11-14 18:31:00,10
2019-11-14 18:36:00,10
2019-11-14 18:41:00,10
2019-11-14 18:42:00,10
2019-11-14 18:43:00,10
2019-11-14 18:44:00,3
2019-11-14 18:45:00,7
2019-11-14 18:47:00,20
2019-11-14 18:48:00,6
2019-11-14 18:49:00,5
2019-11-14 18:50:00,4
2019-11-14 18:51:00,6
2019-11-14 18:53:00,14
2019-11-14 18:54:00,9
2019-11-14 18:56:00,10
2019-11-14 18:58:00,8
2019-11-14 19:04:00,10
2019-11-14 19:10:00,10
2019-11-14 19:11:00,10
2019-11-14 19:13:00,10
2019-11-14 19:14:00,5
2019-11-14 19:15:00,6
2019-11-14 19:16:00,4
2019-11-14 19:17:00,3
2019-11-14 19:18:00,7
2019-11-14 19:19:00,10
2019-11-14 19:27:00,10
2019-11-14 19:28:00,5
2019-11-14 19:29:00,5
2019-11-14 19:31:00,10
2019-11-14 19:32:00,1
2019-11-14 19:33:00,19
2019-11-14 19:34:00,6
2019-11-14 19:35:00,4
2019-11-14 19:40:00,10
2019-11-14 19:42:00,10
2019-11-14 19:44:00,10
2019-11-14 19:46:00,10
2019-11-14 19:48:00,10
2019-11-14 19:50:00,10
2019-11-14 19:51:00,1
2019-11-14 19:52:00,10
2019-11-14 19:53:00,3
2019-11-14 19:54:00,5
2019-11-14 19:55:00,7
2019-11-14 19:56:00,3
2019-11-14 19:57:00,9
2019-11-14 19:58:00,1
2019-11-14 19:59:00,5
2019-11-14 20:01:00,10
