40,"SELECT TOP # bestobjid, z FROM SpecObj WHERE class = &&& AND zWarning = # AND z BETWEEN # AND # ORDER BY NEWID()"
2019-03-27 16:00:00,1
2019-03-27 16:26:00,1
2019-03-27 16:33:00,1
2019-03-27 16:34:00,1
2019-03-27 16:48:00,1
2019-03-27 17:10:00,1
2019-03-27 17:44:00,1
2019-03-27 17:56:00,1
2019-03-27 17:57:00,1
2019-03-27 18:02:00,3
2019-03-27 18:13:00,1
2019-03-27 18:14:00,1
2019-03-27 19:03:00,1
2019-03-27 19:06:00,1
2019-03-27 19:42:00,1
2019-03-27 19:43:00,3
2019-03-27 19:58:00,2
2019-03-27 20:00:00,1
2019-03-27 20:01:00,2
2019-03-27 20:03:00,2
2019-03-27 20:05:00,1
2019-03-27 20:06:00,1
2019-03-27 20:07:00,1
2019-03-27 20:08:00,1
2019-03-27 20:39:00,1
2019-03-27 20:49:00,3
2019-03-27 20:50:00,1
2019-03-27 20:59:00,1
2019-03-27 21:05:00,1
2019-03-27 21:08:00,1
2019-03-27 21:10:00,1
