1011,"SELECT TOP #  G.ra,G.dec,G.modelMag_r,G.modelMagErr_r,G.extinction_r,  pz.z,pz.zErr,  G.modelFlux_u,  G.modelFlux_g,  G.modelFlux_r,  G.modelFlux_i,  G.modelFlux_z,  G.modelFluxIvar_u,G.modelFluxIvar_g,G.modelFluxIvar_r,G.modelFluxIvar_i,G.modelFluxIvar_z,GN.distance  FROM  dbo.fGetNearbyObjEq(#, #, #) AS GN  JOIN Galaxy AS G ON GN.objID = G.objID  JOIN PhotoTag AS pt ON pt.objID = G.objID  JOIN Photoz AS pz ON GN.objID = pz.objID  ORDER by distance"
2019-03-27 15:17:00,3
2019-03-27 15:18:00,25
2019-03-27 15:19:00,26
2019-03-27 15:20:00,25
2019-03-27 15:21:00,26
2019-03-27 15:22:00,25
2019-03-27 15:23:00,26
2019-03-27 15:24:00,25
2019-03-27 15:25:00,20
2019-03-27 15:26:00,22
2019-03-27 15:27:00,24
2019-03-27 15:28:00,22
2019-03-27 15:29:00,24
2019-03-27 15:30:00,20
2019-03-27 15:31:00,26
2019-03-27 15:32:00,18
2019-03-27 16:00:00,24
2019-03-27 16:01:00,21
2019-03-27 16:02:00,28
2019-03-27 16:03:00,25
2019-03-27 16:04:00,22
2019-03-27 16:05:00,26
2019-03-27 16:06:00,28
2019-03-27 16:07:00,28
2019-03-27 16:08:00,27
2019-03-27 16:09:00,28
2019-03-27 16:10:00,28
2019-03-27 16:11:00,27
2019-03-27 16:12:00,28
2019-03-27 16:13:00,27
2019-03-27 16:14:00,25
2019-03-27 16:15:00,20
2019-03-27 21:13:00,2
2019-03-27 21:14:00,21
2019-03-27 21:15:00,26
2019-03-27 21:16:00,25
2019-03-27 21:17:00,26
2019-03-27 21:18:00,25
2019-03-27 21:19:00,26
2019-03-27 21:20:00,25
2019-03-27 21:21:00,26
2019-03-27 21:22:00,26
2019-03-27 21:23:00,14
