26,"SELECT TOP # bestObjID, z FROM SpecObj WHERE class = &&& AND zWarning = # AND z BETWEEN # AND #"
2019-03-27 20:59:00,1
2019-03-27 21:10:00,2
2019-03-27 21:12:00,2
2019-03-27 21:13:00,2
2019-03-27 21:15:00,2
2019-03-27 21:16:00,2
2019-03-27 21:18:00,1
2019-03-27 21:19:00,1
2019-03-27 21:20:00,1
2019-03-27 21:22:00,1
2019-03-27 22:25:00,1
2019-03-27 22:29:00,1
2019-03-27 22:30:00,1
2019-03-27 22:31:00,1
2019-03-27 22:32:00,1
2019-03-27 22:33:00,1
2019-03-27 22:34:00,1
2019-03-27 22:35:00,1
2019-03-27 22:36:00,1
2019-03-27 22:37:00,1
2019-03-27 22:38:00,1
