18,"SELECT   p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  s.class, s.z as redshift FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #  AND s.z BEtWEEN # AND #"
2019-03-27 10:34:00,1
2019-03-27 10:38:00,1
2019-03-27 10:39:00,1
2019-03-27 10:41:00,1
2019-03-27 10:42:00,1
2019-03-27 10:43:00,1
2019-03-27 10:44:00,1
2019-03-27 10:46:00,1
2019-03-27 10:47:00,1
2019-03-27 10:48:00,1
2019-03-27 10:50:00,1
2019-03-27 10:51:00,1
2019-03-27 10:53:00,1
2019-03-27 10:54:00,1
2019-03-27 10:56:00,1
2019-03-27 10:57:00,1
2019-03-27 11:48:00,1
2019-03-27 11:49:00,1
