8,"select s.objid, s.ra, s.dec, s.g, s.r, s.g - s.r from star s, dbo.fGetNearbyObjEq(#,#,#) n where s.objid = n.objid"
2019-03-27 11:35:00,2
2019-03-27 11:37:00,2
2019-03-27 11:53:00,1
2019-03-27 12:16:00,1
2019-03-27 21:31:00,1
2019-03-27 21:37:00,1
