3,"SELECT s.specobjid, s.ra, s.dec, s.z, s.velDisp, p.PetroRad_r FROM SpecObj s JOIN photoObj p ON p.objId= s.bestObjID WHERE s.class=GALAXY"
2019-11-04 18:26:00,1
2019-11-04 18:27:00,1
2019-11-04 18:28:00,1
