2,"SELECT TOP #  p.g,p.r  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = # OR p.type = #)"
2019-11-04 17:47:00,1
2019-11-04 17:49:00,1
