7,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and (p.g-p.r BETWEEN # AND #)  and s.z BETWEEN # AND #"
2019-11-04 19:33:00,1
2019-11-04 19:34:00,4
2019-11-04 19:35:00,2
