133,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-11-04 03:45:00,1
2019-11-04 03:48:00,1
2019-11-04 04:30:00,1
2019-11-04 05:30:00,2
2019-11-04 05:45:00,1
2019-11-04 06:35:00,6
2019-11-04 07:40:00,3
2019-11-04 08:20:00,11
2019-11-04 09:00:00,5
2019-11-04 09:35:00,2
2019-11-04 09:45:00,1
2019-11-04 10:25:00,1
2019-11-04 10:28:00,11
2019-11-04 10:35:00,7
2019-11-04 10:40:00,1
2019-11-04 11:45:00,1
2019-11-04 12:45:00,1
2019-11-04 15:15:00,28
2019-11-04 15:16:00,21
2019-11-04 15:50:00,1
2019-11-04 15:51:00,14
2019-11-04 16:25:00,1
2019-11-04 17:25:00,10
2019-11-04 18:30:00,1
2019-11-04 20:20:00,1
