108,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-11-04 05:43:00,2
2019-11-04 05:58:00,1
2019-11-04 06:36:00,3
2019-11-04 07:23:00,2
2019-11-04 07:33:00,1
2019-11-04 07:34:00,1
2019-11-04 07:44:00,1
2019-11-04 07:59:00,1
2019-11-04 08:16:00,1
2019-11-04 09:01:00,1
2019-11-04 11:15:00,1
2019-11-04 12:47:00,3
2019-11-04 12:48:00,1
2019-11-04 12:51:00,2
2019-11-04 12:53:00,2
2019-11-04 12:54:00,1
2019-11-04 12:57:00,5
2019-11-04 13:02:00,1
2019-11-04 13:05:00,1
2019-11-04 14:38:00,1
2019-11-04 14:46:00,1
2019-11-04 15:08:00,2
2019-11-04 15:12:00,2
2019-11-04 15:13:00,2
2019-11-04 15:14:00,1
2019-11-04 15:15:00,2
2019-11-04 15:16:00,2
2019-11-04 15:17:00,4
2019-11-04 15:21:00,3
2019-11-04 15:22:00,6
2019-11-04 15:23:00,1
2019-11-04 15:24:00,1
2019-11-04 15:26:00,2
2019-11-04 15:27:00,5
2019-11-04 15:28:00,1
2019-11-04 15:29:00,2
2019-11-04 15:30:00,1
2019-11-04 15:31:00,2
2019-11-04 15:33:00,3
2019-11-04 15:34:00,6
2019-11-04 15:35:00,8
2019-11-04 15:42:00,1
2019-11-04 15:45:00,1
2019-11-04 16:50:00,1
2019-11-04 16:52:00,1
2019-11-04 16:53:00,2
2019-11-04 18:03:00,1
2019-11-04 18:58:00,2
2019-11-04 19:00:00,1
2019-11-04 19:01:00,2
2019-11-04 19:31:00,1
2019-11-04 19:41:00,1
2019-11-04 19:46:00,1
2019-11-04 19:57:00,1
2019-11-04 20:06:00,1
2019-11-04 20:28:00,1
2019-11-04 23:23:00,1
