30,select * from Photoz where objid=#
2019-11-04 00:37:00,1
2019-11-04 02:31:00,1
2019-11-04 02:50:00,1
2019-11-04 02:51:00,1
2019-11-04 04:11:00,1
2019-11-04 04:20:00,1
2019-11-04 04:34:00,1
2019-11-04 04:48:00,1
2019-11-04 04:57:00,1
2019-11-04 05:48:00,1
2019-11-04 08:09:00,1
2019-11-04 08:54:00,1
2019-11-04 09:19:00,1
2019-11-04 09:42:00,1
2019-11-04 09:49:00,1
2019-11-04 10:25:00,1
2019-11-04 10:35:00,1
2019-11-04 10:44:00,1
2019-11-04 11:34:00,1
2019-11-04 12:19:00,1
2019-11-04 14:29:00,1
2019-11-04 16:24:00,1
2019-11-04 17:43:00,1
2019-11-04 18:36:00,1
2019-11-04 19:17:00,1
2019-11-04 21:09:00,1
2019-11-04 21:20:00,1
2019-11-04 23:14:00,1
2019-11-04 23:29:00,1
2019-11-04 23:59:00,1
